"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,882,066",
"",營利事業捐贈收入,"202,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"28,600",
"",匿名捐贈收入,"13,000",
"",其他收入,39,"超過三萬元之收入合計:1,707,666"
"",收入合計,"2,125,705","金錢收入總額:2,100,305  非金錢收入總額:25,400"
"支出",人事費用支出,"221,000",
"",宣傳支出,"1,152,394",
"",租用宣傳車輛支出,"968,138",
"",租用競選辦事處支出,"73,734",
"",集會支出,"178,228",
"",交通旅運支出,"165,201",
"",雜支支出,"163,075",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"2,921,770","超過三萬元之支出合計:1,175,334"
"餘絀",收支結存金額,"-796,065",
"金錢以外之賸餘財產",0,,
