"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"523,100",
"",營利事業捐贈收入,"33,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:170,000"
"",收入合計,"556,100","金錢收入總額:551,000  非金錢收入總額:5,100"
"支出",人事費用支出,"176,200",
"",宣傳支出,"734,562",
"",租用宣傳車輛支出,"154,047",
"",租用競選辦事處支出,"1,480",
"",集會支出,"54,100",
"",交通旅運支出,"71,091",
"",雜支支出,"194,362",
"",返還捐贈支出,0,
"",繳庫支出,"10,000",專戶存款結存金額:0
"",公共關係費用支出,"37,550",
"",支出合計,"1,433,392","超過三萬元之支出合計:586,450"
"餘絀",收支結存金額,"-877,292",
"金錢以外之賸餘財產",0,,
