"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,890,320",
"",營利事業捐贈收入,"2,250,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"110,000",
"",匿名捐贈收入,"52,600",
"",其他收入,24,"超過三萬元之收入合計:6,345,000"
"",收入合計,"7,302,944","金錢收入總額:6,772,944  非金錢收入總額:530,000"
"支出",人事費用支出,"609,283",
"",宣傳支出,"6,875,920",
"",租用宣傳車輛支出,"354,832",
"",租用競選辦事處支出,"523,035",
"",集會支出,"1,492,770",
"",交通旅運支出,"373,809",
"",雜支支出,"270,893",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"173,050",
"",支出合計,"10,673,592","超過三萬元之支出合計:6,810,755"
"餘絀",收支結存金額,"-3,370,648",
"金錢以外之賸餘財產",0,,
