"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,706,500",
"",營利事業捐贈收入,"780,000",
"",政黨捐贈收入,"3,000,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"11,000",
"",其他收入,636,"超過三萬元之收入合計:5,020,000"
"",收入合計,"5,498,136","金錢收入總額:5,475,636  非金錢收入總額:22,500"
"支出",人事費用支出,"3,000",
"",宣傳支出,"2,647,902",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"2,484,795",
"",交通旅運支出,"2,520",
"",雜支支出,"493,049",
"",返還捐贈支出,"90,000",
"",繳庫支出,"10,000",專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"5,731,266","超過三萬元之支出合計:2,624,039"
"餘絀",收支結存金額,"-233,130",
"金錢以外之賸餘財產",0,,
