"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,817,999",
"",營利事業捐贈收入,"685,000",
"",政黨捐贈收入,"1,900",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,"1,200",
"",其他收入,285,"超過三萬元之收入合計:1,622,000"
"",收入合計,"2,606,384","金錢收入總額:2,606,384  非金錢收入總額:"
"支出",人事費用支出,"213,450",
"",宣傳支出,"1,523,532",
"",租用宣傳車輛支出,"173,400",
"",租用競選辦事處支出,"126,269",
"",集會支出,"498,375",
"",交通旅運支出,"51,678",
"",雜支支出,"78,755",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"79,360",
"",支出合計,"2,744,819","超過三萬元之支出合計:1,268,325"
"餘絀",收支結存金額,"-138,435",
"金錢以外之賸餘財產",0,,
