"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,328,552",
"",營利事業捐贈收入,"1,873,900",
"",政黨捐贈收入,"2,002,850",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"25,700",
"",其他收入,152,"超過三萬元之收入合計:6,217,152"
"",收入合計,"7,231,154","金錢收入總額:6,850,402  非金錢收入總額:380,752"
"支出",人事費用支出,"1,222,508",
"",宣傳支出,"3,765,406",
"",租用宣傳車輛支出,"369,360",
"",租用競選辦事處支出,"1,001,800",
"",集會支出,"154,571",
"",交通旅運支出,"171,560",
"",雜支支出,"692,448",
"",返還捐贈支出,"315,600",
"",繳庫支出,"38,640",專戶存款結存金額:0
"",公共關係費用支出,"5,640",
"",支出合計,"7,737,533","超過三萬元之支出合計:5,397,988"
"餘絀",收支結存金額,"-506,379",
"金錢以外之賸餘財產",0,,
