"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,755,192",
"",營利事業捐贈收入,"3,450,000",
"",政黨捐贈收入,"5,500,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"10,200",
"",其他收入,"2,510","超過三萬元之收入合計:13,387,031"
"",收入合計,"13,717,902","金錢收入總額:13,717,902  非金錢收入總額:"
"支出",人事費用支出,"2,546,150",
"",宣傳支出,"6,965,251",
"",租用宣傳車輛支出,"143,552",
"",租用競選辦事處支出,"31,600",
"",集會支出,"221,586",
"",交通旅運支出,"327,631",
"",雜支支出,"1,883,286",
"",返還捐贈支出,"50,000",
"",繳庫支出,0,專戶存款結存金額:557
"",公共關係費用支出,"1,548,289",
"",支出合計,"13,717,345","超過三萬元之支出合計:10,680,541"
"餘絀",收支結存金額,557,
"金錢以外之賸餘財產",0,,
