"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,182,300",
"",營利事業捐贈收入,"6,882,000",
"",政黨捐贈收入,"4,000,000",
"",人民團體捐贈收入,"510,000",
"",匿名捐贈收入,"99,000",
"",其他收入,818,"超過三萬元之收入合計:16,766,000"
"",收入合計,"17,674,118","金錢收入總額:17,674,118  非金錢收入總額:"
"支出",人事費用支出,"3,611,835",
"",宣傳支出,"7,707,674",
"",租用宣傳車輛支出,"664,918",
"",租用競選辦事處支出,"85,000",
"",集會支出,"1,009,685",
"",交通旅運支出,"982,776",
"",雜支支出,"3,451,410",
"",返還捐贈支出,"202,000",
"",繳庫支出,"50,000",專戶存款結存金額:12
"",公共關係費用支出,"69,919",
"",支出合計,"17,835,217","超過三萬元之支出合計:9,918,106"
"餘絀",收支結存金額,"-161,099",
"金錢以外之賸餘財產",0,,
