"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"5,754,236",
"",營利事業捐贈收入,"2,192,200",
"",政黨捐贈收入,"4,000,000",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,"12,940",
"",其他收入,406,"超過三萬元之收入合計:11,666,040"
"",收入合計,"12,059,782","金錢收入總額:12,059,782  非金錢收入總額:"
"支出",人事費用支出,"2,739,750",
"",宣傳支出,"11,437,323",
"",租用宣傳車輛支出,"553,876",
"",租用競選辦事處支出,"153,011",
"",集會支出,"126,640",
"",交通旅運支出,"34,301",
"",雜支支出,"373,015",
"",返還捐贈支出,"50,060",
"",繳庫支出,"104,318",專戶存款結存金額:0
"",公共關係費用支出,"43,516",
"",支出合計,"15,615,810","超過三萬元之支出合計:13,601,429"
"餘絀",收支結存金額,"-3,556,028",
"金錢以外之賸餘財產",0,,
