"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,104,600",
"",營利事業捐贈收入,0,
"",政黨捐贈收入,"4,000,000",
"",人民團體捐贈收入,"75,000",
"",匿名捐贈收入,0,
"",其他收入,229,"超過三萬元之收入合計:5,095,000"
"",收入合計,"5,179,829","金錢收入總額:5,179,829非金錢收入總額:0"
"支出",人事費用支出,0,
"",宣傳支出,"6,348,465",
"",租用宣傳車輛支出,"90,000",
"",租用競選辦事處支出,"34,000",
"",集會支出,"222,460",
"",交通旅運支出,"19,003",
"",雜支支出,"9,030",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:199
"",公共關係費用支出,"54,800",
"",支出合計,"6,777,758","超過三萬元之支出合計:6,390,695"
"餘絀",收支結存金額,"-1,597,929",
"金錢以外之賸餘財產",0,,
