"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"444,500",
"",營利事業捐贈收入,"351,000",
"",政黨捐贈收入,"4,300,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"6,000",
"",其他收入,0,"超過三萬元之收入合計:4,900,000"
"",收入合計,"5,101,500","金錢收入總額:5,101,500   非金錢收入總額:0"
"支出",人事費用支出,"1,463,120",
"",宣傳支出,"2,052,757",
"",租用宣傳車輛支出,"85,059",
"",租用競選辦事處支出,"122,230",
"",集會支出,"379,972",
"",交通旅運支出,"3,025",
"",雜支支出,"983,537",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"11,800",
"",支出合計,"5,101,500","超過三萬元之支出合計:3,027,022"
"餘絀",收支結存金額,0,
"金錢以外之賸餘財產",0,,
